title,rating,stars
决胜法庭,3.7分,"主演于和伟,张佳宁,韩栋,王耀庆,连奕名,胡静,杜源,王艺禅,王全有"
刘老根第三部,4.0分,"主演赵本山,范伟,李静,闫学晶,王小宝"
我的僵尸王爷,4.6分,主演内详
新世界2020,3.4分,"主演孙红雷,张鲁一,尹昉,万茜,李纯,胡静,秦汉,赵峥,张瑶,张晔子"
三生三世枕上书,4.4分,"主演迪丽热巴,高伟光,陈楚河,郭品超,刘雨欣,刘芮麟,王骁,李东恒,袁雨萱,黄俊捷"
北灵少年志之大主宰,4.0分,"主演王源,欧阳娜娜,骆明劼,马月,徐浩,王奕婷"
尖锋之烈焰青春,1.0分,"主演宋轶,李佳航,牛骏峰,孙洪涛,万沛鑫,侍宣如,赵圆瑗,吴谨言,钱志,一真"
幸福院之老有所安,3.0分,主演刘佩琦
鬼吹灯之牧野诡事,1.0分,主演王大陆  金晨  王栎鑫
秘果,3.6分,主演陈飞宇/欧阳娜娜
择天记,5.0分,主演鹿晗/娜扎/吴倩/曾舜晞
欢乐颂2,1.0分,主演刘涛/蒋欣/王子文/杨紫
关东大先生,4.0分,"主演赵本山,范伟,小沈阳,刘流"
寒武纪,2.0分,"主演周雨彤,侯明昊,贺军翔,秦汉"
发酵吧，创业菌,2.0分,"主演祝向阳,袁伶嫣,骆俊帆,戚蓝尹"
爱的妇产科,1.0分,"主演何晟铭,朱丹,孙坚,李依晓"
楚乔传,2.0分,主演赵丽颖/林更新/窦骁/李沁
夏至未至,2.0分,主演陈学冬 / 郑爽 / 白敬亭 / 夏梓桐 / 柴碧云
上古情歌,3.0分,主演黄晓明/宋茜/盛一伦/张俪
擒狼,2.0分,主演蒲巴甲 / 刘萌萌 / 刘波 / 吕卓燃
深夜食堂2017,2.0分,"主演黄磊,赵又廷,张钧甯,海清"
逆袭之星途璀璨,4.3分,主演宋轶 / 普提查·克瑟辛 / 彦希 / 奥兰多·布鲁姆
刺客列传之龙血玄黄,3.3分,主演查杰 / 朱戬 / 熊梓淇 / 陈雨成
那一场呼啸而过的青春,3.0分,主演李颖 / 崔航 / 陶为 / 宫晓瑄 / 杜安琪
林子大了,4.5分,主演郭麒麟/郭德纲/李梦颖/栾云平
刑警战记,4.0分,主演范雨林 / 郭柯彤 / 马薇 / 贺刚
大军师司马懿之军师联盟,3.6分,"主演吴秀波,刘涛,李晨,于和伟"
我的真芯男友,1.0分,主演朱梓骁  曾梦雪  赵时  曲昱曈
我的1997,3.0分,"主演印小天,陈瑾,巫刚,瑛子,刘之冰,孔琳,徐小明,龚慈恩,高珑珂,肖荣生,张汇仓,谭洋,刘凯,于笑,伍麟凯,陈牧扬,徐伟栋,刘永"
杀不死,5.0分,主演杨羽  邵庄  安宁  王辰昊
风云天地,2.0分,"主演汪明荃,刘恺威,赵雅芝,唐嫣"
复合大师,4.0分,主演贾乃亮  王晓晨  代乐乐  邓超
警察锅哥第一季,4.0分,主演刘洁涵  冯国强  高峰  刘凯
警察锅哥第二季,2.0分,主演刘凯  刘洁涵  冯国强  张圣岳
我的前半生,2.3分,主演靳东  马伊琍  袁泉  雷佳音
无心法师2,5.0分,"主演韩东君,陈瑶,李兰迪,王彦霖"
醉玲珑,5.0分,主演 刘诗诗  陈伟霆  徐海乔  韩雪
